c,2,2,8,0,50,2,1
c,3,3,3,0,23,9,4
b,4,31,16,99,227
b,5,46,28,99,274
c,6,4,3,0,60,4,2
c,7,4,13,0,54,3,2
b,8,41,69,109,375
b,9,28,8,109,203
b,10,26,6,101,111
b,11,30,10,109,163
c,12,3,10,0,60,5,1
c,13,7,7,0,55,15,6
c,14,5,9,0,91,7,3
c,15,3,5,0,46,1,1
c,16,2,5,0,19,1,1
c,17,3,3,0,6,0,0
c,18,8,8,0,73,16,8
c,19,4,7,0,55,8,4
c,20,5,7,0,50,8,5
c,21,3,7,0,71,6,2
c,22,2,6,0,26,2,2
c,23,3,5,0,26,2,2
c,24,3,9,0,43,7,2
c,25,1,6,0,40,5,1
c,2,3,2,0,5,1,1
c,3,3,6,0,24,7,1
b,4,24,9,51,94
b,5,30,20,48,98
c,6,1,5,0,7,1,1
c,7,3,3,0,35,13,4
b,8,45,67,55,191
b,9,26,8,57,100
b,10,40,12,53,68
b,11,28,8,46,89
c,12,2,6,0,31,2,1
c,13,6,4,0,30,1,1
c,14,4,3,0,18,4,3
c,15,4,7,0,37,3,2
c,16,8,4,0,30,2,1
c,17,7,3,0,13,2,2
c,18,5,3,0,40,14,5
c,19,3,3,0,14,6,2
c,20,1,4,0,7,1,1
c,21,5,3,0,15,2,2
c,22,1,4,0,6,1,1
c,23,2,3,0,15,2,2
c,24,2,3,0,34,2,1
c,25,4,5,0,40,3,2
c,2,2,19,0,125,15,2
c,3,5,1,0,3,0,0
b,4,26,10,165,305
b,5,37,22,165,329
c,6,2,16,0,125,13,1
c,7,1,4,0,4,0,0
b,8,61,81,164,663
b,9,32,12,164,454
b,10,36,13,164,453
b,11,45,16,158,318
c,12,7,12,1,143,3,1
c,13,6,17,1,130,1,0
c,14,6,14,0,138,27,6
c,15,2,14,0,132,3,1
c,16,5,13,0,139,4,2
c,17,7,11,0,134,22,5
c,18,3,4,0,23,5,3
c,19,5,11,0,119,7,2
c,20,4,2,0,25,5,3
c,21,4,8,0,148,4,2
c,22,5,1,0,26,2,2
c,23,6,4,2,23,2,2
c,24,4,12,0,144,4,2
c,25,4,13,0,143,3,1
c,2,2,14,0,147,18,3
